user_id,transaction_amount,transaction_time,merchant,description,category
user_0836,250.95,2024-09-25 23:49:00,Whole Foods,Whole Foods purchase,Groceries
user_0657,406.46,2024-04-12 08:34:00,Payroll,Payroll,Salary
user_0803,299.44,2024-12-30 08:27:00,Various,Various purchase,Other
user_0367,130.94,2024-01-01 11:46:00,Bar,Bar purchase,Entertainment
user_0132,114.41,2024-07-17 21:32:00,Bank Transfer,Bank Transfer,Transfer
user_0687,210.86,2024-07-04 12:00:00,Uncategorized,Uncategorized purchase,Other
user_0304,195.76,2024-05-19 22:53:00,Amazon,Amazon purchase,Shopping
user_0181,102.59,2024-10-18 16:09:00,Various,Various purchase,Other
user_0496,225.19,2024-06-29 21:46:00,Pharmacy,Pharmacy purchase,Healthcare
user_0842,437.78,2024-05-15 19:51:00,Gaming Store,Gaming Store purchase,Entertainment
user_0819,469.09,2024-09-18 17:24:00,Metro,Metro purchase,Transport
user_0891,135.93,2024-10-26 14:11:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0684,71.74,2024-07-20 03:01:00,Bar,Bar purchase,Entertainment
user_0499,369.18,2024-10-24 09:25:00,Con Edison,Con Edison purchase,Utilities
user_0272,202.6,2024-02-17 21:49:00,Payroll,Payroll,Salary
user_0443,5.18,2024-03-22 00:01:00,Pharmacy,Pharmacy purchase,Healthcare
user_0704,260.87,2024-06-16 16:38:00,Employer,Employer,Salary
user_0724,480.55,2024-07-12 01:08:00,Payroll,Payroll,Salary
user_0603,375.15,2024-09-29 02:03:00,P2P Transfer,P2P Transfer,Transfer
user_0200,378.87,2024-02-12 13:32:00,Medical Supply,Medical Supply purchase,Healthcare
user_0469,299.25,2024-08-16 07:50:00,P2P Transfer,P2P Transfer,Transfer
user_0964,16.96,2024-10-31 17:00:00,Spotify,Spotify purchase,Entertainment
user_0436,453.68,2024-10-21 08:28:00,Lyft,Lyft purchase,Transport
user_0603,435.74,2024-06-17 15:49:00,Pharmacy,Pharmacy purchase,Healthcare
user_0355,371.23,2024-02-12 22:07:00,Employer,Employer,Salary
user_0811,266.75,2024-01-13 19:58:00,Electricity Co.,Electricity Co. purchase,Utilities
